Zone,Code zone,Kcal_vegetaux,Kcal_animaux,Population_milliers,SousAlimentation_millions,Disponibilite_calorique_totale_kcal,Population_totale,Taux_sousnutrition_pct,Part_animaux_pct,Part_vegetaux_pct
Pologne,173,2534.0,916.0,38217,-3057391.8340539755,3450.0,38217000,-8.000083298149974,26.55072463768116,73.44927536231884
Polynésie française,70,2061.0,862.0,277,11909.117917387679,2923.0,277000,4.299320547793386,29.4902497434143,70.5097502565857
Portugal,174,2469.0,1003.0,10608,-978645.4890237261,3472.0,10608000,-9.225541940268911,28.888248847926267,71.11175115207374
Roumanie,183,2568.0,791.0,21699,-1054693.565137187,3359.0,21699000,-4.8605629989270795,23.548675200952665,76.45132479904734
Royaume-Uni,229,2443.0,982.0,63384,-5064407.711604809,3425.0,63384000,-7.990041195892985,28.67153284671533,71.32846715328466
République de Corée,117,2757.0,576.0,49263,-1181370.410623159,3333.0,49263000,-2.398088647916609,17.28172817281728,82.71827182718272
République de Moldova,146,2022.0,693.0,3487,370916.22075385624,2715.0,3487000,10.637115593744085,25.524861878453038,74.47513812154696
Saint-Kitts-et-Nevis,188,1821.0,670.0,54,8547.921819933825,2491.0,54000,15.829484851729305,26.896828582898436,73.10317141710156
Saint-Vincent-et-les Grenadines,191,2377.0,588.0,109,6590.855751996399,2965.0,109000,6.046656653207705,19.831365935919056,80.16863406408095
Sainte-Lucie,189,1820.0,769.0,182,22881.227117769256,2589.0,182000,12.57210281196113,29.70258787176516,70.29741212823484
Samoa,244,2141.0,815.0,190,7659.491633028199,2956.0,190000,4.031311385804315,27.57104194857916,72.42895805142085
Sao Tomé-et-Principe,193,2211.0,187.0,193,45697.36637705814,2398.0,193000,23.677391905211472,7.79816513761468,92.20183486238533
Slovénie,198,2364.0,804.0,2072,-12933.982689445116,3168.0,2072000,-0.6242269637763087,25.37878787878788,74.62121212121212
Suisse,211,2268.0,1125.0,8078,-685784.597208816,3393.0,8078000,-8.489534503699133,33.15649867374005,66.84350132625994
Suriname,207,2374.0,378.0,539,70748.07365211243,2752.0,539000,13.125802161801936,13.73546511627907,86.26453488372093
Suède,210,2127.0,1053.0,9571,-302640.73987619585,3180.0,9571000,-3.16205976257649,33.11320754716981,66.88679245283019
Tadjikistan,208,1929.0,270.0,8208,2244593.4611921334,2199.0,8208000,27.346411564231644,12.278308321964529,87.72169167803547
Tchéquie (la),167,2418.0,837.0,10702,-309524.9544356621,3255.0,10702000,-2.8922159823926563,25.71428571428571,74.28571428571429
Trinité-et-Tobago,220,2414.0,635.0,1341,49115.76370631237,3049.0,1341000,3.6626222003215787,20.826500491964577,79.17349950803542
Turquie,223,3141.0,567.0,74933,-8377008.875920503,3708.0,74933000,-11.179332037847814,15.291262135922329,84.70873786407766
Ukraine,230,2450.0,688.0,45239,508472.38591766113,3138.0,45239000,1.12396911054104,21.924792861695348,78.07520713830465
Uruguay,234,2185.0,867.0,3407,47484.590134983344,3052.0,3407000,1.3937361354559243,28.40760157273919,71.59239842726082
Vanuatu,155,2390.0,443.0,253,26702.298833767403,2833.0,253000,10.554268313742057,15.63713378044476,84.36286621955524
